"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"SV_1","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"SV_2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella",NA
"SV_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus"
"SV_4","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"SV_5","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA
"SV_6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"SV_7","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Lelliottia",NA
"SV_8","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"SV_9","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"SV_10","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"SV_11","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"SV_12","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","iners"
"SV_13","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1","neonatale"
"SV_14","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","ramosum"
"SV_15","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA
"SV_16","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"SV_17","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"SV_18","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1","paraputrificum"
"SV_19","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter",NA
"SV_20","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Ezakiella",NA
"SV_21","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"SV_22","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",NA
"SV_23","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"SV_24","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"SV_25","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caccae"
"SV_26","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"SV_27","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",NA
"SV_28","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus"
"SV_29","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA
"SV_30","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"SV_31","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA
"SV_32","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"SV_33","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"SV_34","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","intestinalis"
"SV_35","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"SV_36","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"SV_37","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae"
"SV_38","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella_4","nexilis"
"SV_39","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA
"SV_40","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia","magna"
"SV_41","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","pectinoschiza"
"SV_42","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA
"SV_43","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","inulinivorans"
"SV_44","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA
"SV_45","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",NA
"SV_46","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","crispatus"
"SV_47","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"SV_48","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Parasutterella","excrementihominis"
"SV_49","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella",NA
"SV_50","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","putredinis"
"SV_51","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella","vaginalis"
"SV_52","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridioides",NA
"SV_53","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter",NA
"SV_54","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"SV_55","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","plautii"
"SV_56","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Fusicatenibacter","saccharivorans"
"SV_57","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","timonensis"
"SV_58","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum",NA
"SV_59","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA
"SV_60","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"SV_61","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_6","corporis"
"SV_62","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister","propionicifaciens"
"SV_63","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"SV_64","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",NA
"SV_65","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"SV_66","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9","copri"
"SV_67","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","pectinoschiza"
"SV_68","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella","vaginalis"
"SV_69","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister","invisus"
"SV_70","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA
"SV_71","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"SV_72","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera","massiliensis"
"SV_73","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter","bartlettii"
"SV_74","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","hadrus"
"SV_75","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Ezakiella",NA
"SV_76","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_UCG-003",NA
"SV_77","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","buccalis"
"SV_78","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Sutterella","wadsworthensis"
"SV_79","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"SV_80","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"SV_81","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","massiliensis"
"SV_82","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"SV_83","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","vaginae"
"SV_84","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"SV_85","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"SV_86","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",NA
"SV_87","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"SV_88","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA
"SV_89","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus","vaginalis"
"SV_90","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","coprocola"
"SV_91","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","plebeius"
"SV_92","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"SV_93","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"SV_94","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"SV_95","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA
"SV_96","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus",NA
"SV_97","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_6",NA
"SV_98","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","bifidum"
"SV_99","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum",NA
"SV_100","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA
"SV_101","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","hominis"
"SV_102","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA
"SV_103","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"SV_104","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_2","bromii"
"SV_105","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium",NA
"SV_106","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"SV_107","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"SV_108","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus",NA
"SV_109","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1","bicirculans"
"SV_110","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_2","bromii"
"SV_111","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","eggerthii"
"SV_112","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"SV_113","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","disiens"
"SV_114","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","CAG-352",NA
"SV_115","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","asaccharolytica"
"SV_116","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"SV_117","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella",NA
