"","x"
"1","10249.C001.02SS"
"2","10249.C001.03SS"
"3","10249.C001.04SS"
"4","10249.C001.05SS"
"5","10249.C001.06SS"
"6","10249.C001.07SS"
"7","10249.C001.08SS"
"8","10249.C001.09SS"
"9","10249.C001.10SS"
"10","10249.C001.11SS"
"11","10249.C001.12SS"
"12","10249.C001.13SS"
"13","10249.C001.14SS"
"14","10249.C001.15SS"
"15","10249.C001.16SS"
"16","10249.C001.17SS"
"17","10249.C001.18SS"
"18","10249.C001.19SS"
"19","10249.C001.20SS"
"20","10249.C001.21SS"
"21","10249.C001.22SS"
"22","10249.C001.23SS"
"23","10249.C001.24SS"
"24","10249.C001.25SS"
"25","10249.C001.26SS"
"26","10249.C001.27SS"
"27","10249.C001.28SS"
"28","10249.C001.29SS"
"29","10249.C001.30SS"
"30","10249.C001.31SS"
"31","10249.C001.32SS"
"32","10249.C001.34SD"
"33","10249.C001.34SS"
"34","10249.C001.35SS"
"35","10249.C001.36SD"
"36","10249.C001.36SS"
"37","10249.C001.37SD"
"38","10249.C001.37SS"
"39","10249.C001.38SS"
"40","10249.C001.39SS"
"41","10249.C001.40SS"
"42","10249.C001.41SS"
"43","10249.C001.42SS"
"44","10249.C002.01SS"
"45","10249.C002.02SS"
"46","10249.C002.03SS"
"47","10249.C002.04SS"
"48","10249.C002.05SS"
"49","10249.C002.06SS"
"50","10249.C002.07SS"
"51","10249.C002.08SS"
"52","10249.C002.09SS"
"53","10249.C002.10SS"
"54","10249.C002.11SS"
"55","10249.C002.12SS"
"56","10249.C002.13SS"
"57","10249.C002.14SS"
"58","10249.C002.15SS"
"59","10249.C002.16SS"
"60","10249.C002.17SS"
"61","10249.C002.18SS"
"62","10249.C002.19SD"
"63","10249.C002.19SS"
"64","10249.C002.20SS"
"65","10249.C002.21SD"
"66","10249.C002.21SS"
"67","10249.C002.22SS"
"68","10249.C002.23SS"
"69","10249.C004.01SS"
"70","10249.C004.02SS"
"71","10249.C004.03SS"
"72","10249.C004.04SS"
"73","10249.C004.05SS"
"74","10249.C004.06SS"
"75","10249.C004.07SS"
"76","10249.C004.08SS"
"77","10249.C004.09SS"
"78","10249.C004.10SS"
"79","10249.C004.11SS"
"80","10249.C004.12SS"
"81","10249.C004.13SS"
"82","10249.C004.14SS"
"83","10249.C004.15SS"
"84","10249.C004.16SD"
"85","10249.C004.16SS"
"86","10249.C005.01SS"
"87","10249.C005.02SS"
"88","10249.C005.03SS"
"89","10249.C005.04SS"
"90","10249.C005.05SS"
"91","10249.C005.07SS"
"92","10249.C005.08SS"
"93","10249.C005.09SS"
"94","10249.C005.10SS"
"95","10249.C005.11SS"
"96","10249.C005.12SS"
"97","10249.C005.13SS"
"98","10249.C005.14SS"
"99","10249.C005.15SS"
"100","10249.C005.16SS"
"101","10249.C005.17SS"
"102","10249.C005.18SS"
"103","10249.C005.19SD"
"104","10249.C005.19SS"
"105","10249.C005.20SS"
"106","10249.C005.21SD"
"107","10249.C005.21SS"
"108","10249.C005.22SS"
"109","10249.C005.23SS"
"110","10249.C005.24SS"
"111","10249.C007.01SS"
"112","10249.C007.02SS"
"113","10249.C007.03SS"
"114","10249.C007.04SS"
"115","10249.C007.05SS"
"116","10249.C007.06SS"
"117","10249.C007.07SS"
"118","10249.C007.08SS"
"119","10249.C007.09SS"
"120","10249.C007.10SS"
"121","10249.C007.11SS"
"122","10249.C007.12SS"
"123","10249.C007.13SS"
"124","10249.C007.14SS"
"125","10249.C007.15SS"
"126","10249.C007.16SS"
"127","10249.C007.17SS"
"128","10249.C007.18SS"
"129","10249.C007.19SS"
"130","10249.C007.20SS"
"131","10249.C007.21SS"
"132","10249.C007.22SD"
"133","10249.C007.22SS"
"134","10249.C007.23SD"
"135","10249.C007.23SS"
"136","10249.C007.24SD"
"137","10249.C007.24SS"
"138","10249.C007.25SS"
"139","10249.C007.26SS"
"140","10249.C007.27SS"
"141","10249.C007.29SS"
"142","10249.C007.30SS"
"143","10249.C008.01SS"
"144","10249.C008.02SS"
"145","10249.C008.03SS"
"146","10249.C008.04SS"
"147","10249.C008.05SS"
"148","10249.C008.06SS"
"149","10249.C008.07SS"
"150","10249.C008.08SS"
"151","10249.C008.09SS"
"152","10249.C008.10SS"
"153","10249.C008.11SS"
"154","10249.C008.12SS"
"155","10249.C008.13SS"
"156","10249.C008.14SS"
"157","10249.C008.15SS"
"158","10249.C008.16SD"
"159","10249.C008.16SS"
"160","10249.C008.17SD"
"161","10249.C008.17SS"
"162","10249.C008.18SS"
"163","10249.C009.01SS"
"164","10249.C009.02SS"
"165","10249.C009.03SS"
"166","10249.C009.04SS"
"167","10249.C009.05SS"
"168","10249.C009.06SS"
"169","10249.C009.07SS"
"170","10249.C009.08SS"
"171","10249.C009.09SS"
