seqname,tax_id,species_name
S000000018,131111,Actinomyces turicensis
S000000028,69366,Microbacterium flavescens
S000000030,43660,Pseudoalteromonas undina
S000000053,47877,Pseudomonas amygdali
S000000066,60520,Lactobacillus paraplantarum
S000000125,55209,Pantoea cypripedii
S000000143,453,Legionella feeleii
S000000149,580,Kluyvera cryocrescens
S000000152,47493,Lactobacillus panis
S000000218,1017,Capnocytophaga gingivalis
S000000227,57498,Deinococcus grandis
S000000228,79270,Desulfurella kamchatkensis
S000000247,53461,Nakamurella multipartita
S000000258,622,Escherichia/Shigella dysenteriae
S000000264,56957,Thermus oshimai
S000000286,78587,Asticcacaulis excentricus
S000000311,182180,Azoarcus anaerobius
S000000315,29571,Halomonas subglaciescola
S000000390,66229,Komagataeibacter intermedius
S000000396,43667,Arthrobacter uratoxydans
S000000418,68910,Deinococcus murrayi
S000000438,37923,Kocuria kristinae
S000000445,553611,Photobacterium leiognathi
S000000546,65499,Lentzea albida
S000000626,44010,Mycobacterium conspicuum
S000000628,49897,Mycobacterium hodleri
S000000629,43675,Rothia mucilaginosa
S000000658,112901,Sporomusa malonica
S000000738,82374,Anaerovibrio lipolyticus
S000000811,96232,Legionella lytica
S000000822,47496,Pedomicrobium australicum
S000000824,59405,Thauera aromatica
S000000827,29301,Streptomyces arenae
S000000835,44749,Sporobacter termitidis
S000000837,675,Vibrio cincinnatiensis
S000000839,28172,Vibrio metschnikovii
S000000841,56464,Xanthomonas theicola
S000000915,34087,Sphingobacterium faecium
S000000917,184882,Knoellia subterranea
S000000935,85874,Thermacetogenium phaeum
S000000969,1677,Arthrobacter pascens
S000001003,1614,Lactobacillus fructivorans
S000001005,1780,Mycobacterium malmoense
S000001041,76636,Mycetocola saprophilus
S000001098,86175,Pseudomonas pertucinogena
S000001126,901,Desulfovibrio piger
S000001187,59892,Treponema amylovorum
S000001193,693,Vibrio nereis
S000001207,103621,Actinomyces urogenitalis
S000001211,156892,Actinomyces marimammalium
S000001213,56810,Psychrobacter glacincola
S000001273,60454,Porphyrobacter tepidarius
S000001277,588,Providencia stuartii
S000001310,1708,Cellulomonas fimi
S000001327,39688,Mycobacterium duvalii
S000001333,54006,Peptoniphilus ivorii
